train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
med2,5,6,0,6,None,None,4,0.231800167000074,None,,,,,,,,,0,0,0,3,6,0,6,0,17.617867957999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60802933299965,17.617867957999806,18.11476133299948,18.118202415999804,18.137372166000205,18.137372166000205,18.137372166000205,18.378798124999776,Incorrect!,None,None,4,0.231800167000074,None,18.37906104099966,18.390798249999534,19.380006290999518,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,7,0,7,None,None,7,0.7242912499996237,None,,,,,,,,,0,0,0,3,7,0,7,0,19.392152165999505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.38018104099956,19.392152165999505,19.888422166000055,19.89085941599933,19.908864207999613,19.908864207999613,19.908864207999613,20.646699165999962,Incorrect!,None,None,7,0.7242912499996237,None,20.64696399999957,20.65827837500001,21.647800040999755,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,8,0,8,None,None,9,0.04472850000001927,None,,,,,,,,,0,0,0,3,8,0,8,0,21.65892949999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.647984665999502,21.65892949999943,22.15603120800006,22.165426458000184,22.182427832999565,22.182427832999565,22.182427832999565,22.233629249999467,Correct!,None,None,9,0.04472850000001927,None,22.236849541000083,22.245584082999812,23.235024624999824,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,9,0,9,None,None,4,0.6533965000007811,None,,,,,,,,,0,0,0,3,9,0,9,0,23.24746679100008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23520733299938,23.24746679100008,23.7428439159994,23.747315374999744,23.76278070799981,23.76278070799981,23.76278070799981,24.420739665999463,Incorrect!,None,None,4,0.6533965000007811,None,24.420987624999725,24.432999665999887,25.423792540999784,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,10,0,10,None,None,6,1.977999415999875,None,,,,,,,,,0,0,0,3,10,0,10,0,25.433871165999335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.42397449999953,25.433871165999335,25.930682790999526,25.93955987499976,25.95313399999941,25.95313399999941,25.95313399999941,27.942335916000047,Incorrect!,None,None,6,1.977999415999875,None,27.942608583000037,27.95424583299973,28.94318049999947,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,11,0,11,None,None,3,0.033048166999833484,None,,,,,,,,,0,0,0,3,11,0,11,0,28.955116415999328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.943376041000192,28.955116415999328,29.450589707999825,29.45262137499958,29.46710633299972,29.46710633299972,29.46710633299972,29.503454457999396,Incorrect!,None,None,3,0.033048166999833484,None,29.50376820800011,29.514809833000072,30.502821125000082,30.515336082999966,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,12,0,12,None,None,8,1.3234681249996356,None,,,,,,,,,0,0,0,3,12,0,12,0,30.515336082999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.502927208000074,30.515336082999966,31.01273129099991,31.01409945799969,31.02769037500002,31.02769037500002,31.02769037500002,32.35707349999939,Incorrect!,None,None,8,1.3234681249996356,None,32.35735270799978,32.36924658299995,33.35871841599965,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,13,0,13,None,None,9,0.17816233299981832,None,,,,,,,,,0,0,0,3,13,0,13,0,33.370659874999546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.35893129099986,33.370659874999546,33.866259999999784,33.86943074999999,33.884930290999364,33.884930290999364,33.884930290999364,34.064426165999976,Incorrect!,None,None,9,0.17816233299981832,None,34.06470262499988,34.076484125000206,35.06572912499996,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,14,0,14,None,None,5,0.13112516699948173,None,,,,,,,,,0,0,0,3,14,0,14,0,35.0771375409995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06592037500013,35.0771375409995,35.574374916000124,35.58020320800006,35.59503979100009,35.59503979100009,35.59503979100009,35.73202229099934,Incorrect!,None,None,5,0.13112516699948173,None,35.73228283299977,35.743802874999346,36.7333408329996,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,15,0,15,None,None,7,0.16102920899993478,None,,,,,,,,,0,0,0,3,15,0,15,0,36.74526670799969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.73352849999992,36.74526670799969,37.241179707999436,37.24366254100005,37.25911037500009,37.25911037500009,37.25911037500009,37.425614582999515,Incorrect!,None,None,7,0.16102920899993478,None,37.42587462499978,37.4377483749995,38.42656295799952,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,16,0,16,None,None,None,,,,,,,,,,,0,0,0,3,16,0,16,0,38.43863233299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.426736207999966,38.43863233299999,38.93496445799974,38.93730308300019,38.95242604099985,38.95242604099985,38.95242604099985,43.94776766599989,Incorrect!,None,None,None,,,43.94805079099933,43.960051166000085,44.94900108299953,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
med2,5,0,0,0,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h21.11.493,misty_module,,2025.2.4,74.7931033909399,2026-01-30 18h21.12.036326 +0000,
easy2,5,0,0,0,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,44.96110562499962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.95538158299951,44.96110562499962,45.45635729100013,45.46379862499998,45.47781899999973,45.47781899999973,45.47781899999973,,,,,,,,,,,,,,,,,,,,
