train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006134542000381771,0.012918375000026572,0.012918375000026572,1.4910233330001574,l,1.3645071249998182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4910534170003302,1.4969781670001794,1.4969781670001794,2.0050498330001574,space,0.49842937499988693,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.011401083000237,2.0135431250000693,4.011419208000007,4.001225500000146,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00782054199999,4.011419208000007,6.02979866700025,6.003560542000287,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,0,0,0,None,None,6,2.2358363339999414,None,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,6.02979866700025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.025308958000096,6.02979866700025,6.508777833000295,6.524027542000113,6.54555633300015,6.54555633300015,6.54555633300015,8.787685250000322,Correct!,None,None,6,2.2358363339999414,None,8.792463750000024,8.800103500000205,9.789092583000183,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,1,0,1,None,None,5,1.960820582999986,None,,,,,,,,,,,0,0,0,1,1,0,1,0,,,,,,,,,9.800474333000238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.789295333000155,9.800474333000238,10.296773292000125,10.298775542000385,10.314550458000213,10.314550458000213,10.314550458000213,12.282168292000279,Incorrect!,None,None,5,1.960820582999986,None,12.285164458000054,12.294284208000136,13.285500667000179,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,2,0,2,None,None,7,2.1759124580003117,None,,,,,,,,,,,0,0,0,1,2,0,2,0,,,,,,,,,13.295198750000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.285784333000265,13.295198750000054,13.791660417000003,13.801459708000039,13.815428958000211,13.815428958000211,13.815428958000211,16.003555208000307,Incorrect!,None,None,7,2.1759124580003117,None,16.00379320800039,16.015517499999987,17.00507050000033,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,3,0,3,None,None,9,3.3332118329999503,None,,,,,,,,,,,0,0,0,1,3,0,3,0,,,,,,,,,17.017050833000212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00525808300017,17.017050833000212,17.51273379200029,17.523218333000386,17.536148458000298,17.536148458000298,17.536148458000298,20.871904042000097,Correct!,None,None,9,3.3332118329999503,None,20.872140417000082,20.884041292000347,21.87347820800005,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,4,0,4,None,None,7,4.159078084000157,None,,,,,,,,,,,0,0,0,1,4,0,4,0,,,,,,,,,21.885480082999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.87367729200014,21.885480082999948,22.382212250000066,22.384426917000383,22.404236374999982,22.404236374999982,22.404236374999982,26.567115042000296,Correct!,None,None,7,4.159078084000157,None,26.56733933300029,26.57943345800004,27.56971995799995,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
easy2,5,5,0,5,None,None,None,,,,,,,,,,,,,0,0,0,1,5,0,5,0,,,,,,,,,27.580315583000356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.569912792000196,27.580315583000356,28.076594042000124,28.078532125000038,28.094272792000083,28.094272792000083,28.094272792000083,33.089453917000355,Incorrect!,None,None,None,,,33.089695333000236,33.10181950000015,34.091199792000225,,,pilot,001,2026-01-30_17h55.44.594,misty_module,,2025.2.4,74.53177758475508,2026-01-30 17h55.45.140132 +0000,
