thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.013850688934326172,0.060523271560668945,0.060523271560668945,1.1482570171356201,space,1.0845065116882324,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-20_15h01.20.209,misty_module,,2025.2.3,60.00804055185083,2026-01-20 15h01.20.852969 +0000,
0,0,0,7,5.091654539108276,None,0,0,0,0,1.1771271228790283,,,,,,,,,,,,,,,1.1672959327697754,1.1771271228790283,1.6641020774841309,1.6749184131622314,1.7271103858947754,1.7271103858947754,1.7271103858947754,1.7271103858947754,1.7271103858947754,1.7271103858947754,1.7271103858947754,1.7271103858947754,6.796804666519165,7,5.091654539108276,None,6.805063247680664,6.826902389526367,7.7971742153167725,,pilot,001,2026-01-20_15h01.20.209,misty_module,,2025.2.3,60.00804055185083,2026-01-20 15h01.20.852969 +0000,
1,0,1,5,3.8312554359436035,None,1,0,1,0,7.811376571655273,,,,,,,,,,,,,,,7.797382593154907,7.811376571655273,8.297081232070923,8.301421880722046,8.326823711395264,8.326823711395264,8.326823711395264,8.326823711395264,8.326823711395264,8.326823711395264,8.326823711395264,8.326823711395264,12.163241386413574,5,3.8312554359436035,None,12.163976669311523,12.177831649780273,13.163508892059326,,pilot,001,2026-01-20_15h01.20.209,misty_module,,2025.2.3,60.00804055185083,2026-01-20 15h01.20.852969 +0000,
2,0,2,4,4.114640951156616,None,2,0,2,0,13.177774667739868,,,,,,,,,,,,,,,13.163640022277832,13.177774667739868,13.66371202468872,13.668111085891724,13.709903240203857,13.709903240203857,13.709903240203857,13.709903240203857,13.709903240203857,13.709903240203857,13.709903240203857,13.709903240203857,17.813282251358032,4,4.114640951156616,None,17.81415343284607,17.82755970954895,18.813371896743774,18.827470302581787,pilot,001,2026-01-20_15h01.20.209,misty_module,,2025.2.3,60.00804055185083,2026-01-20 15h01.20.852969 +0000,
3,0,3,0,3.1141257286071777,None,3,0,3,0,18.827470302581787,,,,,,,,,,,,,,,18.813539266586304,18.827470302581787,19.31427025794983,19.31819796562195,19.359630346298218,19.359630346298218,19.359630346298218,19.359630346298218,19.359630346298218,19.359630346298218,19.359630346298218,19.359630346298218,22.46273422241211,0,3.1141257286071777,None,22.46332287788391,22.47731590270996,23.463018894195557,,pilot,001,2026-01-20_15h01.20.209,misty_module,,2025.2.3,60.00804055185083,2026-01-20 15h01.20.852969 +0000,
4,0,4,,,,4,0,4,0,23.477261066436768,,,,,,,,,,,,,,,23.463140726089478,23.477261066436768,23.96301507949829,23.96736478805542,24.00938892364502,24.00938892364502,24.00938892364502,24.00938892364502,24.00938892364502,24.00938892364502,24.00938892364502,24.00938892364502,,,,,,,,,,,,,,,,,
