prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,fix.stopped,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,arrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,arrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.0694968330062693,None,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,31.303514541010372,,,,,,,,,,,,,,,,,,,,,,31.293215583005804,31.303514541010372,31.79032354100491,,,,,,,,,,,31.883820540999295,31.888529083007597,32.88269354100339,32.87399687500147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.792144749997533,31.80876500000886,31.80876500000886,31.80876500000886,31.883495166010107,Incorrect!,None,None,s,0.0694968330062693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,2,2,0,,,,,,,,,,,easy1,60,,,,,,space,0.28356187501049135,None,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87508350001008,32.88269354100339,32.88269354100339,33.170547415997135,space,0.28356187501049135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.09806112499791197,None,,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,33.18221083300887,,,,,,,,,,,,,,,,,,,,,,33.17550925000978,33.18221083300887,33.668019040997024,,,,,,,,,,,33.79368079100095,33.79840229100955,34.78952779099927,34.78440662501089,,,,,,,,33.691060333003406,,,,,,,,,,,,,,,,,,,,,,,,,,33.6759516250022,33.691060333003406,33.691060333003406,33.691060333003406,33.79337691600085,Incorrect!,None,None,s,0.09806112499791197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,3,3,0,,,,,,,,,,,easy2,60,,,,,,space,1.2815530830121133,None,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.78561091600568,34.78952779099927,34.78952779099927,36.07738854100171,space,1.2815530830121133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,0.3108739589952165,None,,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,36.08796941601031,,,,,,,,,,,,,,,,,,,,,,36.08269075000135,36.08796941601031,36.573738625011174,,,,,,,,,,,36.91994858300313,36.93223695800407,37.92249729100149,37.91745225001068,,,,,,,,36.59816562500782,,,,,,,,,,,,,,,,,,,,,,,,,,36.58242287499888,36.59816562500782,36.59816562500782,36.59816562500782,36.91966225000215,Incorrect!,None,None,s,0.3108739589952165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,4,4,0,,,,,,,,,,,hard,60,,,,,,space,0.40357170801144093,None,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9185339579999,37.92249729100149,37.92249729100149,38.33511629101122,space,0.40357170801144093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33524724999734,38.34143245800806,38.34143245800806,39.63495008301106,space,1.2895244999963325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,39.64968558300461,,,,,,,,,,,,,,,,,,,,,,39.64425199999823,39.64968558300461,40.136327750005876,,,,,,,,,,,45.175131041003624,45.18170720800117,46.17134924999846,46.167147583008045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,40.13980262500991,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,40.168909750005696,45.174901749996934,0,1,1,0,0,None,None,None,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,46.17134924999846,,,,,,,,,,,,,,,,,,,,,,46.16733008300071,46.17134924999846,46.6568859580002,,,,,,,,,,,51.69969812499767,51.703254082996864,52.69910675000574,52.690124665998155,,,,,,,,46.66537862500991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,46.6600562500098,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,46.68715416600753,51.699489749997156,0,1,1,0,1,None,None,None,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,52.69910675000574,,,,,,,,,,,,,,,,,,,,,,52.69029720799881,52.69910675000574,53.18383395799901,,,,,,,,,,,58.232736500009196,58.23545958301111,59.23213645799842,59.22318695799913,,,,,,,,53.190693041004124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,53.18673395800579,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,53.211580208007945,58.232534958006,0,1,1,0,2,None,None,None,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,58.23545958301111,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,59.23213645799842,,,,,,,,,,,,,,,,,,,,,,59.22334791600588,59.23213645799842,59.71745991600619,,,,,,,,,,,64.75844108300225,64.76499329099897,65.75484975001018,65.75066883300315,,,,,,,,59.740487041010056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,59.72052108299977,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,59.740487041010056,64.75824387501052,0,1,1,0,3,None,None,None,,,,,,,,,,,,,pilot,001,2026-02-03_17h55.14.111,misty_module,,2025.2.4,None,2026-02-03 17h55.14.719480 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,65.75484975001018,,,,,,,,,,,,,,,,,,,,,,65.75083729100879,65.75484975001018,66.24108995799907,,,,,,,,,,,,,,,,,,,,,,66.24790337499871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.24397304099693,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,66.26803641600418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
