prac_diff,thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.006992292000177258,0.010139042000446352,0.010139042000446352,3.1231737500002055,l,2.993831916999625,None,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h29.52.899,misty_module,,2025.2.4,74.92902816120221,2026-01-31 18h29.53.454430 +0000,
,,,,,,,,,,,,,,,,,3.123199542000293,3.1304127499997776,3.1304127499997776,3.8727724589998616,space,0.7275443750004342,None,[],[],[],[],[],[],,,,pilot,001,2026-01-31_18h29.52.899,misty_module,,2025.2.4,74.92902816120221,2026-01-31 18h29.53.454430 +0000,
easy1,0,0,0,0,0,0,2,3.8845553339997423,,,,,,,,,,,,,,,,,,,,,,3.880298125000081,3.8845553339997423,4.377013792000071,,,,,,,,,
