train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,next_block.started,text_4.started,next_block.stopped,text_4.stopped,fix.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005734458000006271,0.012130708000768209,0.012130708000768209,0.4873769580008229,l,0.35631137499876786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48740291700050875,0.4912653749997844,0.4912653749997844,0.8991260830007377,space,0.3941768750009942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.906433707999895,0.908857333000924,2.9104235419999895,2.8988681669998186,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9023508329992183,2.9104235419999895,4.9028337500003545,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
easy2,5,0,0,0,None,None,4,0.3084810420004942,None,,,,,,,,,0,0,0,1,0,0,0,0,4.9300468750006985,,,,,,,,,,,,,,,,,,,,,,,4.925340833000519,4.9300468750006985,5.40862987500077,5.427756958000828,5.450937166999211,5.450937166999211,5.450937166999211,5.766438791999462,Incorrect!,None,None,4,0.3084810420004942,None,5.771119041999555,5.778446457999962,6.778840082999523,6.766369124999983,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
easy2,5,1,0,1,None,None,None,,,,,,,,,,,0,0,0,1,1,0,1,0,6.778840082999523,,,,,,,,,,,,,,,,,,,,,,,6.766460875000121,6.778840082999523,7.273363583000901,7.274361542000406,7.28441791700061,7.28441791700061,7.28441791700061,7.274886125000194,,None,None,None,,,7.2822932500002935,7.28441791700061,8.286051958000826,8.273903999999675,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
easy2,5,0,0,0,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.274641125000926,8.286051958000826,9.277355583000826,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
med1,5,0,0,0,None,None,4,0.4763521250006306,None,,,,,,,,,0,1,1,2,0,0,0,0,9.287865958000111,,,,,,,,,,,,,,,,,,,,,,,9.284421166999891,9.287865958000111,9.780938792000597,9.78653283300082,9.795078958000886,9.795078958000886,9.795078958000886,10.274724291999519,Incorrect!,None,None,4,0.4763521250006306,None,10.274984583000332,10.286738082999364,,11.27771783299977,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
med1,5,1,0,1,None,None,None,,,,,,,,,,,0,1,1,2,1,0,1,0,11.287867999999435,,,,,,,,,,,,,,,,,,,,,,,11.278020249999827,11.287867999999435,11.784637791999558,11.794249541999307,11.800709249999272,11.800709249999272,11.800709249999272,11.79536837500018,,None,None,None,,,11.796020292000321,11.800709249999272,,12.796332500000062,,,,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
med1,5,1,1,0,,,,,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.79778958300085,12.808098375000554,13.798742582999694,,,pilot,001,2026-01-31_19h43.44.923,misty_module,,2025.2.4,74.60839897940834,2026-01-31 19h43.45.468041 +0000,
