prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback_practice_1.stopped,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,med1,60,None,None,s,1.8123112920002313,None,,,,,,,,,,,,,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,11.755541792008444,,,,,,,,,,,,,,,,,,,,,,11.749405334005132,11.755541792008444,12.265244667010847,12.241917875013314,,,,,,,,,,,14.08344791700074,14.088973334000912,15.075005917009548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.250908959002118,12.265244667010847,12.265244667010847,12.265244667010847,14.08315125000081,Incorrect!,None,None,s,1.8123112920002313,None,15.080449375003809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,2,2,0,,,,,,,,,,,med1,60,,,,,,space,0.35619674999907147,None,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.076229584010434,15.080449375003809,15.080449375003809,15.444299542010413,space,0.35619674999907147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,med2,60,None,None,s,0.3885355420061387,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,15.456205792012042,,,,,,,,,,,,,,,,,,,,,,15.449465625002631,15.456205792012042,15.967955917003565,15.942090459007886,,,,,,,,,,,16.35772470899974,16.36105945901363,17.347719000012148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.954759917003685,15.967955917003565,15.967955917003565,15.967955917003565,16.35743800000637,Incorrect!,None,None,s,0.3885355420061387,None,17.356568417002563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,3,3,0,,,,,,,,,,,med2,60,,,,,,space,0.35394274999271147,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.34878754201054,17.356568417002563,17.356568417002563,17.714696459006518,space,0.35394274999271147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,0.3736939579976024,None,,,,,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,17.739999000012176,,,,,,,,,,,,,,,,,,,,,,17.71941520900873,17.739999000012176,,18.226907792006386,,,,,,,,,,,18.641057792003267,18.645715834005387,19.631522625000798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.242413459011004,18.25572979201388,18.25572979201388,18.25572979201388,18.640768500001286,Incorrect!,None,None,s,0.3736939579976024,None,19.639874250002322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,4,4,0,,,,,,,,,,,hard,60,,,,,,space,0.44963383401045576,None,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.632707250013482,19.639874250002322,19.639874250002322,20.092428875010228,space,0.44963383401045576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.092555625000386,20.098872834001668,20.098872834001668,20.781176125005004,space,0.6815577500092331,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,20.794524292010465,,,,,,,,,,,,,,,,,,,,,,20.789012417008053,20.794524292010465,,21.282071042005555,,,,,,,,,,,26.53686191700399,26.556099875000655,27.541335166999488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,,21.285122500004945,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,21.314193375001196,26.532718334012316,0,1,1,0,0,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,27.545651375010493,,,,,,,,,,,,,,,,,,,,,,27.54155062501377,27.545651375010493,28.05385933400248,28.030741584007046,,,,,,,,,,,33.28367883400642,33.28837333401316,34.27447324999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,34.278521584012196,,,,,,,,,,,,,,,28.03377900000487,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,28.05385933400248,33.28345700001228,-1,1,1,0,1,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,34.278521584012196,,,,,,,,,,,,,,,,,,,,,,34.27463837500545,34.278521584012196,34.77271712500078,34.76424675001181,,,,,,,,,,,40.01606449999963,40.02220037500956,41.00781704200199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,41.011769042001106,,,,,,,,,,,,,,,34.76702854200266,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,34.79361983400304,40.0158658750006,-2,1,1,0,2,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,41.011769042001106,,,,,,,,,,,,,,,,,,,,,,41.00799087500491,41.011769042001106,41.50589000000036,41.49740370899963,,,,,,,,,,,46.74919858400244,46.75541420900845,47.74079195900413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,47.74491320901143,,,,,,,,,,,,,,,41.50038866700197,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,41.52609300000768,46.748999917006586,0,1,1,0,3,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,47.74491320901143,,,,,,,,,,,,,,,,,,,,,,47.74096108401136,47.74491320901143,48.25655841700791,48.2336408340052,,,,,,,,,,,53.483289834010066,53.48886587501329,54.47404462500708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,54.479998084003455,,,,,,,,,,,,,,,48.23679641701165,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,48.28083087501,53.48309012500977,-1,1,1,0,4,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,,,,space,3.5354882499959785,None,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.47531425001216,54.479998084003455,54.479998084003455,58.02559920900967,space,3.5354882499959785,None,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,0,0,0,58.03216491700732,,,,,,,,,,,,,,,,,,,,,,58.026076624999405,58.03216491700732,,58.52571650000755,,,,,,,,,,,63.95957020900096,63.97182808400248,64.95741133400588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,64.9616560840077,,,,,,,,,,,,,,,58.52892520900059,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,58.548725667002145,63.959365292001166,-2,1,1,0,0,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,0,1,0,64.9616560840077,,,,,,,,,,,,,,,,,,,,,,64.95759737500339,64.9616560840077,,65.45948962500552,,,,,,,,,,,70.89236262500344,70.90531866700621,71.89087258400104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,71.89505312500114,,,,,,,,,,,,,,,65.46336558400071,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,65.48356412501016,70.89214116700168,0,1,1,0,1,None,None,None,,,,,,,,pilot,001,2026-02-03_18h24.33.886,misty_module,,2025.2.4,None,2026-02-03 18h24.34.500683 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,71.89505312500114,,,,,,,,,,,,,,,,,,,,,,71.89106229200843,71.89505312500114,72.40548100000888,72.38289562500722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.38613891700516,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,72.40548100000888,,,,,,,,,,,,,,,,,,,,,,,,,
