thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,prog_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.013632535934448242,0.025926828384399414,0.025926828384399414,0.39482855796813965,l,0.3674006462097168,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h38.37.635,misty_module,,2025.2.3,60.005465051567484,2026-01-29 17h38.38.569696 +0000,
,,,,,,,,,,,,,,,,0.3948709964752197,0.4087979793548584,0.4087979793548584,1.128493070602417,space,0.717695951461792,None,[],[],[],[],[],[],,,,,,,pilot,001,2026-01-29_17h38.37.635,misty_module,,2025.2.3,60.005465051567484,2026-01-29 17h38.38.569696 +0000,
0,0,0,0,0,0,0,1.142028570175171,,,,,,,,,,,,,,,,,,,,,,1.1290645599365234,1.142028570175171,,1.6281325817108154,1.630049228668213,,,,,,,,,,
