thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.012940168380737305,0.025285005569458008,0.025285005569458008,1.328279733657837,space,1.2989459037780762,None,[],[],[],[],[],[],pilot,001,2026-01-20_15h02.57.806,misty_module,,2025.2.3,60.00434907010014,2026-01-20 15h02.58.316766 +0000,
0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
