prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,userArrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,easy2,60,None,None,s,0.2660375420091441,None,,,,,,,,,,,,,,,,,,0,2,2,1,0,0,0,0,,,,,,,,,19.760288791003404,,,,,,,,,,,,,,,,,,,,,,19.75560316600604,19.760288791003404,,20.250647791006486,,,,,,,,,,,20.548506624996662,20.553118750001886,21.547895041003358,21.53957354099839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.258589582997956,20.27372362499591,20.27372362499591,20.27372362499591,20.548194165996392,Incorrect!,None,None,s,0.2660375420091441,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,2,2,0,,,,,,,,,,,easy2,60,,,,,,space,0.2909127089951653,None,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54066004100605,21.547895041003358,21.547895041003358,21.850400958006503,space,0.2909127089951653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,med2,60,None,None,s,0.41259120899485424,None,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,21.86070066600223,,,,,,,,,,,,,,,,,,,,,,21.855274458008353,21.86070066600223,,22.351712957999553,,,,,,,,,,,22.798961416003294,22.803565875001368,23.79794525000034,23.789086290998966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.35888916600379,22.374265582999215,22.374265582999215,22.374265582999215,22.79867750000267,Incorrect!,None,None,s,0.41259120899485424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,3,3,0,,,,,,,,,,,med2,60,,,,,,space,0.8707695000048261,None,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.790152250003302,23.79794525000034,23.79794525000034,24.673054750004667,space,0.8707695000048261,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,med1,60,None,None,s,0.5664125420007622,None,,,,,,,,,,,,,,,,,,0,4,4,2,0,0,0,0,,,,,,,,,24.683933332999004,,,,,,,,,,,,,,,,,,,,,,24.678190332997474,24.683933332999004,25.191207416006364,25.172405958001036,,,,,,,,,,,25.765694208006607,25.768454375007423,26.764590624996345,26.7557036250073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17449283300084,25.191207416006364,25.191207416006364,25.191207416006364,25.76543179100554,Incorrect!,None,None,s,0.5664125420007622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,4,4,0,,,,,,,,,,,med1,60,,,,,,space,1.0320467919955263,None,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75672108300205,26.764590624996345,26.764590624996345,27.801621125006932,space,1.0320467919955263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80177299999923,27.808049708008184,27.808049708008184,30.122186583001167,space,2.3115090409992263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,30.13631762500154,,,,,,,,,,,,,,,,,,,,,,30.130753999997978,30.13631762500154,30.639973750003264,30.62084066600073,,,,,,,,,,,35.83175395800208,35.83510020800168,36.83086887499667,36.82203379100247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,30.622229500004323,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,30.639973750003264,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83510020800168,35.83152500000142,0,1,1,0,0,None,None,None,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,36.83086887499667,,,,,,,,,,,,,,,,,,,,,,36.822206249999,36.83086887499667,37.338800833007554,37.316179125002236,,,,,,,,,,,42.52471462500398,42.52948920799827,43.520008125007735,43.515796332998434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,37.319394958001794,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,37.338800833007554,,,,,,,,,,,,,42.524505249995855,0,1,1,0,1,None,None,None,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,43.520008125007735,,,,,,,,,,,,,,,,,,,,,,43.51598895799543,43.520008125007735,44.01535720800166,44.008070416006376,,,,,,,,,,,49.21478495800693,49.21832566600642,50.2140433750028,50.20503362499585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,44.01108908299648,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,44.035620624999865,,,,,,,,,,,,,49.21457008300058,0,1,1,0,2,None,None,None,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,easy1,120,3.0,None,None,None,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,50.2140433750028,,,,,,,,,,,,,,,,,,,,,,50.205196541006444,50.2140433750028,50.72144750000734,50.699375333002536,,,,,,,,,,,55.907296833000146,55.913173041000846,56.90311016600754,56.89886341600504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,50.70223637500021,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,50.72144750000734,,,,,,,,,,,,,55.90707254099834,0,1,1,0,3,None,None,None,pilot,001,2026-02-03_18h02.33.242,misty_module,,2025.2.4,None,2026-02-03 18h02.33.844167 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,56.90311016600754,,,,,,,,,,,,,,,,,,,,,,56.8990620830009,56.90311016600754,57.396876291008084,57.38817691600707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.390964582999004,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,57.41864945800626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
