train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007682500000555592,0.010902459000135423,0.010902459000135423,2.0643829590007954,l,1.9400577079995855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0644082090002485,2.071658250000837,2.071658250000837,2.814684875000239,space,0.7273374169999443,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.821539125000527,2.824321917000816,4.823544792000575,4.811966125000254,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.819033167000271,4.823544792000575,6.8396715840008255,6.813743042000169,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,0,0,0,None,None,8,4.448873500000445,None,,,,,,,,,0,0,0,4,0,0,0,0,6.8396715840008255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8351803340001425,6.8396715840008255,7.318579375000809,7.336236042000564,7.356038709000131,7.356038709000131,7.356038709000131,11.811786334000317,Incorrect!,None,None,8,4.448873500000445,None,11.816545000000588,11.823749709000367,12.81406487500044,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,1,0,1,None,None,5,3.1158414589999666,None,,,,,,,,,0,0,0,4,1,0,1,0,12.824815500000113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.814333625000472,12.824815500000113,13.32122900000013,13.338752958999976,13.35306537500037,13.35306537500037,13.35306537500037,16.48019454200039,Incorrect!,None,None,5,3.1158414589999666,None,16.480464709000444,16.492099834000328,17.481593417000113,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,2,0,2,None,None,9,2.8019320410003274,None,,,,,,,,,0,0,0,4,2,0,2,0,17.49289570900055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.481790959000136,17.49289570900055,17.989239709000685,17.99784345900025,18.011934417000703,18.011934417000703,18.011934417000703,20.814958625000145,Incorrect!,None,None,9,2.8019320410003274,None,20.815213667000535,20.827001625000776,21.817490584000552,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,3,0,3,None,None,4,1.4518019580000328,None,,,,,,,,,0,0,0,4,3,0,3,0,21.827942792000613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.817756209000436,21.827942792000613,22.324256084000808,22.335586459000297,22.349090292000255,22.349090292000255,22.349090292000255,23.802688834000037,Incorrect!,None,None,4,1.4518019580000328,None,23.802939625000363,23.814722709000307,24.803103334000298,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,4,0,4,None,None,6,1.351517750000312,None,,,,,,,,,0,0,0,4,4,0,4,0,24.8150940000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.80320925000069,24.8150940000005,25.309535417000006,25.311958417000824,25.32135558400023,25.32135558400023,25.32135558400023,26.68386004200056,Incorrect!,None,None,6,1.351517750000312,None,26.684131167000487,26.69582733400057,27.68489341700024,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
hard,5,5,0,5,None,None,8,0.8718381670005328,None,,,,,,,,,0,0,0,4,5,0,5,0,27.6964242920003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.68506066700047,27.6964242920003,28.192824792000465,28.196407917000215,28.211029709000286,28.211029709000286,28.211029709000286,29.08468379200076,Incorrect!,None,None,8,0.8718381670005328,None,29.08493754200026,29.096676584000306,30.086101375,,pilot,001,2026-01-30_18h17.12.261,misty_module,,2025.2.4,75.13540790513628,2026-01-30 18h17.12.814236 +0000,
