prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,arrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,arrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,med2,60,None,None,s,0.3533054580038879,None,,,,,,,,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,16.843835124993348,,,,,,,,,,,,,,,,,,,,,,16.838460499988287,16.843835124993348,17.35684720799327,17.333124999990105,,,,,,,,,,,17.71555654099211,17.719881915996666,18.71429133300262,18.70586266600003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.34228399999847,17.35684720799327,17.35684720799327,17.35684720799327,17.71523283299757,Incorrect!,None,None,s,0.3533054580038879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,2,2,0,,,,,,,,,,,med2,60,,,,,,space,2.3726401250023628,None,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7070205409982,18.71429133300262,18.71429133300262,21.092514249990927,space,2.3726401250023628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,0.24957212500157766,None,,,,,,,,,,,,,,,,,,,,,0,3,3,4,0,0,0,0,,,,,,,,,21.103865083001438,,,,,,,,,,,,,,,,,,,,,,21.097807415993884,21.103865083001438,21.612362790998304,21.588440082996385,,,,,,,,,,,21.865220040999702,21.869822583001223,22.864226915990002,22.85516574999201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.598963083000854,21.612362790998304,21.612362790998304,21.612362790998304,21.86493366600189,Incorrect!,None,None,s,0.24957212500157766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,3,3,0,,,,,,,,,,,hard,60,,,,,,space,0.2916585000057239,None,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.85626849999244,22.864226915990002,22.864226915990002,23.166749750002054,space,0.2916585000057239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.37828612500743475,None,,,,,,,,,,,,,,,,,,,,,0,4,4,0,0,0,0,0,,,,,,,,,23.177202332997695,,,,,,,,,,,,,,,,,,,,,,23.17167924999376,23.177202332997695,23.684488415994565,23.666376249995665,,,,,,,,,,,24.06723620799312,24.0804360829934,25.07083483299357,25.065719291000278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.66814374999376,23.684488415994565,23.684488415994565,23.684488415994565,24.06695879099425,Incorrect!,None,None,s,0.37828612500743475,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,4,4,0,,,,,,,,,,,easy1,60,,,,,,space,0.3880024589889217,None,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.066880665995996,25.07083483299357,25.07083483299357,25.466769624996232,space,0.3880024589889217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.466896457990515,25.472983250001562,25.472983250001562,26.971522957988782,space,1.4977572500065435,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,26.98535049999191,,,,,,,,,,,,,,,,,,,,,,26.979989665996982,26.98535049999191,,27.474959957995452,,,,,,,,,,,32.624748040994746,32.629925415996695,33.619682249991456,33.61562904099992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,27.478542124998057,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,27.50851854099892,32.62451624999812,0,1,1,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,33.619682249991456,,,,,,,,,,,,,,,,,,,,,,33.615816165998694,33.619682249991456,34.11367349998909,34.10479308299546,,,,,,,,,,,39.264313499996206,39.267042624996975,40.2641461250023,40.254985249994206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,34.10764470799768,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,34.13447012499091,39.26410412500263,0,1,1,0,1,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,2,0,2,0,40.2641461250023,,,,,,,,,,,,,,,,,,,,,,40.25518183299573,40.2641461250023,40.775007124990225,40.751413582998794,,,,,,,,,,,45.90809799999988,45.913021165993996,46.90290320799977,46.89874150000105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,40.75506729100016,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,40.775007124990225,45.90788349999639,0,1,1,0,2,None,None,None,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,45.913021165993996,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,3,0,3,0,46.90290320799977,,,,,,,,,,,,,,,,,,,,,,46.898907750000944,46.90290320799977,47.397182832995895,47.388035457988735,,,,,,,,,,,52.540141374993254,52.54633591599122,53.53609504099586,53.531946040995535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,47.39081608298875,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,47.41830870800186,52.539938999994774,0,1,1,0,3,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,1,4,0,4,0,53.53609504099586,,,,,,,,,,,,,,,,,,,,,,53.53212058299687,53.53609504099586,54.03066204099741,54.023232166000525,,,,,,,,,,,59.17432020799606,59.17902766598854,60.17140237499552,60.16529987499234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,54.026520165993134,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,54.05142066600092,59.174100915988674,0,1,1,0,4,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,easy2,120,4.0,,,,space,3.93608425000275,None,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.166696499989484,60.17140237499552,60.17140237499552,64.10990908299573,space,3.93608425000275,None,pilot,001,2026-02-03_17h58.45.297,misty_module,,2025.2.4,None,2026-02-03 17h58.45.898019 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,64.11743479099823,,,,,,,,,,,,,,,,,,,,,,64.11042783300218,64.11743479099823,64.62665912500233,64.60464716599381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.60762458298996,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,64.62665912500233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
