thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.014326333999633789,0.026596546173095703,0.026596546173095703,3.1287574768066406,l,3.0885796546936035,None,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h32.09.656,misty_module,,2025.2.3,59.98452585769223,2026-01-29 17h32.10.591693 +0000,
,,,,,,,,,,,,,,,,3.128803253173828,3.142672061920166,3.142672061920166,4.229066848754883,space,1.0845708847045898,None,[],[],[],[],[],[],,,,,pilot,001,2026-01-29_17h32.09.656,misty_module,,2025.2.3,59.98452585769223,2026-01-29 17h32.10.591693 +0000,
0,0,0,0,0,0,0,4.242710113525391,,,,,,,,,,,,,,,,,,,,,,4.229907989501953,4.242710113525391,,4.728568077087402,,,,,,,,,
