thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,prog_3.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.009457111358642578,0.021104812622070312,0.021104812622070312,1.3744149208068848,l,1.3503718376159668,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h39.31.666,misty_module,,2025.2.3,59.99482199536268,2026-01-29 17h39.32.618487 +0000,
,,,,,,,,,,,,,,,,1.3744580745697021,1.388293981552124,1.388293981552124,1.674623727798462,space,0.2700495719909668,None,[],[],[],[],[],[],,,,,,,pilot,001,2026-01-29_17h39.31.666,misty_module,,2025.2.3,59.99482199536268,2026-01-29 17h39.32.618487 +0000,
0,0,0,0,0,0,0,1.6883459091186523,,,,,,,,,,,,,,,,,,,,,,1.6750893592834473,1.6883459091186523,,2.174119710922241,2.183948278427124,,,,,,,,,,
