thisN,thisTrialN,thisRepN,slider.response,slider.rt,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,sum_routine1.started,prog.started,greenbar.started,yellowbar.started,redbar.started,arrow.started,textbox.started,slider.started,key_resp.started,sum_routine1.stopped,trials.slider.response,trials.slider.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.014903068542480469,0.027507781982421875,0.027507781982421875,1.0464978218078613,space,1.0019726753234863,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
0,0,0,None,None,1,2.4016804695129395,None,0,0,0,0,1.0764174461364746,,,,,,,,,,,,,,,1.0722944736480713,1.0764174461364746,1.5629701614379883,1.5721702575683594,1.6097335815429688,1.6097335815429688,1.6097335815429688,1.6097335815429688,1.6097335815429688,1.6097335815429688,1.6097335815429688,1.6097335815429688,4.013011693954468,None,None,1,2.4016804695129395,None,4.021263360977173,4.043387174606323,5.029555082321167,,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
1,0,1,None,None,9,3.47121524810791,None,1,0,1,0,5.05955171585083,,,,,,,,,,,,,,,5.05487585067749,5.05955171585083,5.529623746871948,5.537439823150635,5.5762107372283936,5.5762107372283936,5.5762107372283936,5.5762107372283936,5.5762107372283936,5.5762107372283936,5.5762107372283936,5.5762107372283936,9.079664707183838,None,None,9,3.47121524810791,None,9.080473899841309,9.093922138214111,10.079490661621094,10.109361410140991,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
2,0,2,None,None,1,3.5274126529693604,None,2,0,2,0,10.109361410140991,,,,,,,,,,,,,,,10.104942321777344,10.109361410140991,10.596039056777954,10.601351022720337,10.6259925365448,10.6259925365448,10.6259925365448,10.6259925365448,10.6259925365448,10.6259925365448,10.6259925365448,10.6259925365448,14.162471055984497,None,None,1,3.5274126529693604,None,14.163074254989624,14.177003145217896,15.162557363510132,15.192435026168823,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
3,0,3,None,None,2,2.100318670272827,None,3,0,3,0,15.192435026168823,,,,,,,,,,,,,,,15.187824487686157,15.192435026168823,15.679128646850586,15.683808088302612,15.709075689315796,15.709075689315796,15.709075689315796,15.709075689315796,15.709075689315796,15.709075689315796,15.709075689315796,15.709075689315796,17.812140703201294,None,None,2,2.100318670272827,None,17.81280493736267,17.826835870742798,18.81224513053894,18.84226942062378,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
4,0,4,None,None,6,1.5242044925689697,None,4,0,4,0,18.84226942062378,,,,,,,,,,,,,,,18.837685585021973,18.84226942062378,19.3122661113739,19.314607858657837,19.342228174209595,19.342228174209595,19.342228174209595,19.342228174209595,19.342228174209595,19.342228174209595,19.342228174209595,19.342228174209595,20.8786461353302,None,None,6,1.5242044925689697,None,20.879343271255493,20.893356561660767,21.878824710845947,,pilot,001,2026-01-20_15h03.41.187,misty_module,,2025.2.3,60.002632256587795,2026-01-20 15h03.41.664512 +0000,
5,0,5,,,,,,5,0,5,0,21.90876603126526,,,,,,,,,,,,,,,21.904045581817627,21.90876603126526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
