prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,fix.stopped,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,feedback_practice_1.stopped,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,hard,60,None,None,s,0.48134466698684264,None,,,,,,,,,,,,,,,,,,,,,0,2,2,4,0,0,0,0,,,,,,,,,15.668420292000519,,,,,,,,,,,,,,,,,,,,,,15.662509667003178,15.668420292000519,16.157431416999316,,,,,,,,,,,16.665852083999198,16.67127525000251,17.65679054199427,,,,,,,,16.183588583997334,,,,,,,,,,,,,,,,,,,17.66202516699559,,,,,,,,16.168910958993365,16.183588583997334,16.183588583997334,16.183588583997334,16.665552334001404,Incorrect!,None,None,s,0.48134466698684264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,2,2,0,,,,,,,,,,,hard,60,,,,,,space,0.040017624996835366,None,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.65787370900216,17.66202516699559,17.66202516699559,17.707762417005142,space,0.040017624996835366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,med1,60,None,None,s,0.43149433299549855,None,,,,,,,,,,,,,,,,,,,,,0,3,3,2,0,0,0,0,,,,,,,,,17.71813533399836,,,,,,,,,,,,,,,,,,,,,,17.71264420899388,17.71813533399836,18.208119000002625,,,,,,,,,,,18.673208916996373,18.67777212499641,19.66331524999987,,,,,,,,,,,,,,,,,,,,,,,,,,,19.67191333399387,,,,,,,,18.215099541994277,18.23037624999415,18.23037624999415,18.23037624999415,18.672911625006236,Incorrect!,None,None,s,0.43149433299549855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,3,3,0,,,,,,,,,,,med1,60,,,,,,space,0.28494545799912885,None,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.664374999993015,19.67191333399387,19.67191333399387,19.957841166993603,space,0.28494545799912885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,med2,60,None,None,s,0.4445450829953188,None,,,,,,,,,,,,,,,,,,,,,0,4,4,3,0,0,0,0,,,,,,,,,19.96844825000153,,,,,,,,,,,,,,,,,,,,,,19.96302745900175,19.96844825000153,20.45732912499807,,,,,,,,,,,20.92300491700007,20.938179791992297,21.92344741699344,,,,,,,,20.477253749995725,,,,,,,,,,,,,,,,,,,,,,,,,,,20.461459666999872,20.477253749995725,20.477253749995725,20.477253749995725,20.922722375005833,Incorrect!,None,None,s,0.4445450829953188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,4,4,0,,,,,,,,,,,med2,60,,,,,,space,0.3421245000063209,None,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.924604458996328,21.928687666993937,21.928687666993937,22.274609291998786,space,0.3421245000063209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.274733375001233,22.28089729200292,22.28089729200292,23.440991916999337,space,1.1558734590071253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,23.454659334005555,,,,,,,,,,,,,,,,,,,,,,23.449239916997612,23.454659334005555,23.942357084000832,,,,,,,,,,,29.172334874994704,29.175091208991944,30.16355083399685,,,,,,,,,,,,,,,,,,,,,,,,,,,30.171820250005112,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,23.954602917001466,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,23.981512917001965,29.172096875001444,0,1,1,0,0,None,None,None,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,1,0,1,0,30.171820250005112,,,,,,,,,,,,,,,,,,,,,,30.1637454169977,30.171820250005112,30.657135792003828,,,,,,,,,,,35.88249162500142,35.887356791994534,36.873156999994535,,,,,,,,30.68385099999432,,,,,,,,,,,,,,,,,,,36.87721087499813,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,30.66506416699849,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,30.68385099999432,35.88227929199638,0,1,1,0,1,None,None,None,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,2,0,2,0,36.87721087499813,,,,,,,,,,,,,,,,,,,,,,36.873318084006314,36.87721087499813,37.36281999999483,,,,,,,,,,,42.59213695899234,42.60426408400235,43.5898937919992,,,,,,,,37.3711826249928,,,,,,,,,,,,,,,,,,,43.59395300000324,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,37.366375500001595,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,37.39174904199899,42.591913041993394,0,1,1,0,2,None,None,None,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,3,0,3,0,43.59395300000324,,,,,,,,,,,,,,,,,,,,,,43.59008662500128,43.59395300000324,44.08118233400455,,,,,,,,,,,49.307776792004006,49.32115099999646,50.30649358399387,,,,,,,,44.10325720900437,,,,,,,,,,,,,,,,,,,50.31066795899824,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,44.084617625005194,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,44.10325720900437,49.30756862499402,0,1,1,0,3,None,None,None,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,3,4,0,4,0,50.31066795899824,,,,,,,,,,,,,,,,,,,,,,50.30666904199461,50.31066795899824,50.796147834000294,,,,,,,,,,,56.02217870899767,56.025483042001724,57.01249420900422,,,,,,,,50.82003145899216,,,,,,,,,,,,,,,,,,,57.02104550000513,,,,,,,,,,,,,Incorrect!,,,,,,,,,,,,,,,,,,,,50.80047137499787,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,50.82003145899216,56.021967833992676,0,1,1,0,4,None,None,None,,,,,,,,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med2,120,6.0,,,,space,2.5396121660014614,None,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.013802458997816,57.02104550000513,57.02104550000513,59.563445709005464,space,2.5396121660014614,None,pilot,001,2026-02-03_18h09.03.036,misty_module,,2025.2.4,None,2026-02-03 18h09.03.645919 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,59.571293959001196,,,,,,,,,,,,,,,,,,,,,,59.563956291996874,59.571293959001196,60.058403749993886,,,,,,,,,,,,,,,,,,,,,60.08247783400293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.06207254200126,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,60.08247783400293,,,,,,,,,,,,,,,,,,,,,,,,,
