thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.019026994705200195,0.03060317039489746,0.03060317039489746,0.3500242233276367,l,0.30571746826171875,None,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h41.42.148,misty_module,,2025.2.3,59.993448972790354,2026-01-29 17h41.43.117782 +0000,
,,,,,,,,,,,,,,,,0.3500645160675049,0.36394500732421875,0.36394500732421875,0.7335004806518555,space,0.35926389694213867,None,[],[],[],[],[],[],,,,,,pilot,001,2026-01-29_17h41.42.148,misty_module,,2025.2.3,59.993448972790354,2026-01-29 17h41.43.117782 +0000,
0,0,0,0,0,0,0,0.7471816539764404,,,,,,,,,,,,,,,,,,,,,,0.733975887298584,0.7471816539764404,,1.2331428527832031,1.2433326244354248,,,,,,,,,
