thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fix.stopped,fixation.stopped,practice_trials.started,textbox_4.started,slider_3.started,key_resp_4.started,practice_trials.stopped,streak.count,time.coef,total.cor,trial.outcome,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,textbox_2.started,feedback.stopped,textbox_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.01654219627380371,0.028710603713989258,0.028710603713989258,0.2980377674102783,l,0.2685999870300293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
,,,,,,,,,,,,,,,,,,,,,0.2980804443359375,0.3120460510253906,0.3120460510253906,0.9315881729125977,space,0.6141486167907715,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
0,0,0,None,None,2,1.610724687576294,None,0,0,0,0,0.9452807903289795,,,,,,,,,,,,,,,,,,,,,,0.9320106506347656,0.9452807903289795,1.4775922298431396,1.4312517642974854,1.4403555393218994,1.4775922298431396,1.4775922298431396,1.4775922298431396,3.1140313148498535,0,1,0,Incorrect!,None,None,2,1.610724687576294,None,3.122535467147827,3.1447253227233887,4.114163637161255,,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
1,0,1,None,None,2,1.2051739692687988,None,1,0,1,0,4.128620862960815,,,,,,,,,,,,,,,,,,,,,,4.11442494392395,4.128620862960815,,4.61433482170105,4.620926380157471,4.644205093383789,4.644205093383789,4.644205093383789,5.88110613822937,0,1,0,Incorrect!,None,None,2,1.2051739692687988,None,5.881838083267212,5.89525842666626,6.881126642227173,6.895257234573364,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
2,0,2,None,None,2,1.0626909732818604,None,2,0,2,0,6.895257234573364,,,,,,,,,,,,,,,,,,,,,,6.881267070770264,6.895257234573364,7.4108288288116455,7.381076097488403,7.383225440979004,7.4108288288116455,7.4108288288116455,7.4108288288116455,8.480916738510132,0,1,0,Incorrect!,None,None,2,1.0626909732818604,None,8.481744527816772,8.495225667953491,9.481039047241211,9.495214939117432,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
3,0,3,None,None,4,2.3069050312042236,None,3,0,3,0,9.495214939117432,,,,,,,,,,,,,,,,,,,,,,9.481217384338379,9.495214939117432,10.010797500610352,9.981073379516602,9.98608946800232,10.010797500610352,10.010797500610352,10.010797500610352,12.347431182861328,0,1,0,Incorrect!,None,None,4,2.3069050312042236,None,12.348156213760376,12.362008810043335,13.34775161743164,,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
4,0,4,None,None,5,3.2343995571136475,None,4,0,4,0,13.3620023727417,,,,,,,,,,,,,,,,,,,,,,13.34790563583374,13.3620023727417,,13.847792863845825,13.849715948104858,13.87746787071228,13.87746787071228,13.87746787071228,17.114487409591675,0,1,0,Incorrect!,None,None,5,3.2343995571136475,None,17.11542773246765,17.128610134124756,18.114463090896606,18.128602266311646,pilot,001,2026-01-29_17h46.41.211,misty_module,,2025.2.3,60.00022888270905,2026-01-29 17h46.42.163108 +0000,
5,0,5,,,,,,5,0,5,0,18.128602266311646,,,,,,,,,,,,,,,,,,,,,,18.11466121673584,18.128602266311646,18.64526128768921,18.614426136016846,18.619813919067383,18.64526128768921,18.64526128768921,18.64526128768921,21.613906621932983,0,1,0,Incorrect!,None,None,5,2.9346566200256348,None,21.614631414413452,21.62855887413025,,,,,,,,,,,
