prac_diff,thisN,thisTrialN,thisRepN,slider_3.response,slider_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,slider_4.response,slider_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,train_diff,train_time,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,exp_diff,exp_time,diffbyt,slider.response,slider.rt,key_resp.keys,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,practice_trials.started,equation_practice_1.started,slider_3.started,key_resp_4.started,practice_trials.stopped,prac_trials.slider_3.response,prac_trials.slider_3.rt,prac_trials.key_resp_4.keys,prac_trials.key_resp_4.rt,prac_trials.key_resp_4.duration,feedback.started,feedback_practice_1.started,feedback_practice_1.stopped,feedback.stopped,new_ui.started,text_2.started,key_resp_8.started,new_ui.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,fix.stopped,practice_trials_2.started,prog_3.started,redbar_3.started,yellowbar_3.started,greenbar_3.started,arrow_3.started,arrow_4.started,targlab.started,yourperf.started,slider_4.started,key_resp_5.started,textbox_5.started,practice_trials_2.stopped,prac_trial2.slider_4.response,prac_trial2.slider_4.rt,prac_trial2.key_resp_5.keys,prac_trial2.key_resp_5.rt,prac_trial2.key_resp_5.duration,training_instructions.started,text_3.started,key_resp_9.started,training_instructions.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,next_block.started,text_4.started,key_resp_3.started,next_block.stopped,training_trials.key_resp_3.keys,training_trials.key_resp_3.rt,training_trials.key_resp_3.duration,start_experiment.started,text_6.started,key_resp_7.started,start_experiment.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,sum_routine1.started,prog.started,redbar.started,yellowbar.started,greenbar.started,targarrow.started,userArrow.started,yourperfexp.started,tarlabexp.started,textbox.started,slider.started,key_resp.started,norm_arrow.started,sum_routine1.stopped,streak.count,time,time.coef,total.cor,trial.count,trials_3.slider.response,trials_3.slider.rt,trials_3.key_resp.keys,prog.stopped,redbar.stopped,yellowbar.stopped,greenbar.stopped,targarrow.stopped,userArrow.stopped,yourperfexp.stopped,tarlabexp.stopped,textbox.stopped,slider.stopped,key_resp.stopped,norm_arrow.stopped,perf_feedback.started,text_5.started,key_resp_6.started,perf_feedback.stopped,experimental_trials.key_resp_6.keys,experimental_trials.key_resp_6.rt,experimental_trials.key_resp_6.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,0,0,0,,,,,,,,,,,easy1,60,None,None,s,0.4483462500065798,None,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,0,0,,,,,,,,,10.8750740000105,,,,,,,,,,,,,,,,,,,,,,10.86950191600772,10.8750740000105,11.360321416010265,,,,,,,,,,,11.835086083010538,11.840630458013038,12.831943666009465,12.826626207999652,,,,,,,,11.383508375001838,,,,,,,,,,,,,,,,,,,,,,,,,,11.367983458010713,11.383508375001838,11.383508375001838,11.383508375001838,11.834774375005509,Incorrect!,None,None,s,0.4483462500065798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,2,2,0,,,,,,,,,,,easy1,60,,,,,,space,0.27488412499951664,None,,,,,,,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.82783904101234,12.831943666009465,12.831943666009465,13.11102183299954,space,0.27488412499951664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,med2,60,None,None,s,0.31708212500961963,None,,,,,,,,,,,,,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,13.121991166000953,,,,,,,,,,,,,,,,,,,,,,13.116200290998677,13.121991166000953,13.609920125003555,,,,,,,,,,,13.958649332998903,13.963204708008561,14.958060208009556,14.949819166009547,,,,,,,,13.634681125011411,,,,,,,,,,,,,,,,,,,,,,,,,,13.620517791001475,13.634681125011411,13.634681125011411,13.634681125011411,13.95839466599864,Incorrect!,None,None,s,0.31708212500961963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,3,3,0,,,,,,,,,,,med2,60,,,,,,space,0.31172341700585093,None,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.951014041012968,14.958060208009556,14.958060208009556,15.277501791002578,space,0.31172341700585093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,med1,60,None,None,s,0.2580940420011757,None,,,,,,,,,,,,,,,,,,,,,0,4,4,2,0,0,0,0,,,,,,,,,15.288751125001,,,,,,,,,,,,,,,,,,,,,,15.282667166000465,15.288751125001,15.776910666012554,,,,,,,,,,,16.076229250000324,16.091158791008638,,17.076199916002224,,,,,,,,15.799678375013173,,,,,,,,,,,,,,,,,,,,,,,,,,15.784285416011699,15.799678375013173,15.799678375013173,15.799678375013173,16.075918125003227,Incorrect!,None,None,s,0.2580940420011757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,4,4,0,,,,,,,,,,,med1,60,,,,,,space,0.25948875000176486,None,,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.077342208009213,17.081262625011732,17.081262625011732,17.344026833001408,space,0.25948875000176486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.344151541008614,17.348819083010312,17.348819083010312,18.362920125000528,space,0.9999032080086181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,18.377157375012757,,,,,,,,,,,,,,,,,,,,,,18.371891333008534,18.377157375012757,18.86593162501231,,,,,,,,,,,24.00507420800568,24.024423416005448,,25.009569375004503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,18.869246750007733,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,18.898358666003332,24.000756541005103,0,1,1,0,0,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,1,0,1,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,0,1,0,25.013789583012112,,,,,,,,,,,,,,,,,,,,,,25.009753125006682,25.013789583012112,25.4988363750017,,,,,,,,,,,30.628633541011368,30.640325541011407,31.63008925000031,31.62609820801299,,,,,,,,25.52159970800858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,25.501954000006663,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,25.52159970800858,30.628425957998843,-1,1,1,0,1,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,2,0,2,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,0,2,0,31.63008925000031,,,,,,,,,,,,,,,,,,,,,,31.626273583009606,31.63008925000031,32.11495620800997,,,,,,,,,,,37.24504937500751,37.25707645800139,38.2468034580088,38.24252537501161,,,,,,,,32.137032625003485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,32.11800029101141,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,32.137032625003485,37.24485412500508,-2,1,1,0,2,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,3,0,3,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,2,3,0,3,0,38.2468034580088,,,,,,,,,,,,,,,,,,,,,,38.242691000006744,38.2468034580088,38.732066416007,,,,,,,,,,,43.875185625001905,43.87853220800753,44.874357916007284,44.86553025001194,,,,,,,,38.75481829101045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,38.73502870800439,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,38.75481829101045,43.874990291005815,0,1,1,0,3,None,None,None,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,43.87853220800753,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,4,0,4,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,None,None,None,,,,,,,,,,,,,,,,,,,,0,0,0,2,4,0,4,0,44.874357916007284,,,,,,,,,,,,,,,,,,,,,,44.86568741600786,44.874357916007284,45.358925083011854,,,,,,,,,,,50.49505858300836,50.507170708006015,51.49848020799982,51.49239183300233,,,,,,,,45.366133750008885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time-Out!,,,,,,,,,,,,,,,,,,,,45.36209870800667,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,45.38548083300702,50.4948600409989,-1,1,1,0,4,None,None,None,,,,,,,,,,,,,,,,,,,,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,med1,120,5.0,,,,space,2.070672417001333,None,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.493761208010255,51.49848020799982,51.49848020799982,53.5799892500072,space,2.070672417001333,None,pilot,001,2026-02-03_18h28.27.712,misty_module,,2025.2.4,None,2026-02-03 18h28.28.324778 +0000,
,0,0,0,,,,,,,,,,,,,,,,,,,,,hard,120,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4,0,0,0,0,53.58713733300101,,,,,,,,,,,,,,,,,,,,,,53.58055900000909,53.58713733300101,54.07618991599884,,,,,,,,,,,,,,,,,,,,,,54.1003413330036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.08076220800285,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,54.1003413330036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
