train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,feedback.started,textbox_2.started,feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.005861915999958001,0.010492583000086597,0.010492583000086597,2.429595374999735,l,2.307341082999301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4296209160002036,2.4358064160005597,2.4358064160005597,2.9972760410000774,space,0.5540419589997327,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.004208875000586,3.007047041000078,5.005087208000077,4.995663333000266,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.000968166000348,5.005087208000077,7.02359824999985,6.996475083000405,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
easy2,5,0,0,0,None,None,None,,,,,,,,,0,0,0,1,0,0,0,0,7.02359824999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.019211124999856,7.02359824999985,7.503279166000539,7.520233916000507,7.541131541000141,7.541131541000141,7.541131541000141,12.516700166000192,Incorrect!,None,None,None,12.521459499999764,12.52801695800008,13.51851591600007,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
easy2,5,0,0,0,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
med2,5,0,0,0,None,None,None,,,,,,,,,0,1,1,3,0,0,0,0,13.527798666000308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.524794165999992,13.527798666000308,14.02487658300015,14.037450249999893,14.04990966600053,14.04990966600053,14.04990966600053,19.03764237500036,Incorrect!,None,None,None,19.03789604099984,19.049953540999923,20.039421624999704,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
med2,5,1,1,0,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
med1,5,0,0,0,None,None,None,,,,,,,,,0,2,2,2,0,0,0,0,20.051058666000245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.04581854099979,20.051058666000245,20.54709895799988,20.55563341600009,20.570178291000047,20.570178291000047,20.570178291000047,25.559998958000506,Incorrect!,None,None,None,25.560251750000134,25.572326375000557,26.561809249999897,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
med1,5,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
hard,5,0,0,0,None,None,None,,,,,,,,,0,3,3,4,0,0,0,0,26.57349158299985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.568327666000187,26.57349158299985,27.0696445829999,27.07301550000011,27.088615124999706,27.088615124999706,27.088615124999706,32.082364249999955,Incorrect!,None,None,None,32.082629624999754,32.09464712499994,33.083161333000135,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
hard,5,3,3,0,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_18h19.47.960,misty_module,,2025.2.4,74.72245297517232,2026-01-30 18h19.48.507468 +0000,
easy1,5,0,0,0,,,,,,,,,,,,0,4,4,0,0,0,0,0,33.09515958300017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.08803799999987,33.09515958300017,33.58976950000033,33.59073658299985,33.6008090410005,33.6008090410005,33.6008090410005,,,,,,,,,,,,,,,,,
