train_diff,train_time,thisN,thisTrialN,thisRepN,slider_training.response,slider_training.rt,key_resp_train.keys,key_resp_train.rt,key_resp_train.duration,exp_diff,exp_time,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trial2.thisRepN,prac_trial2.thisTrialN,prac_trial2.thisN,prac_trial2.thisIndex,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,new_ui.started,text_2.started,text_2.stopped,new_ui.stopped,training_instructions.started,text_3.started,text_3.stopped,training_instructions.stopped,fixation.started,fix.started,fixation.stopped,training_routine_1.started,textbox_3.started,slider_training.started,key_resp_train.started,training_routine_1.stopped,trial.outcome,trials_2.slider_training.response,trials_2.slider_training.rt,trials_2.key_resp_train.keys,trials_2.key_resp_train.rt,trials_2.key_resp_train.duration,feedback.started,textbox_2.started,feedback.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0062741670008108485,0.013484125000104541,0.013484125000104541,1.2313770830005524,l,1.0977903330003755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2314057500007038,1.2388389580000876,1.2388389580000876,1.5937246670000604,space,0.3475437079996482,None,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.601013000000421,1.603893667000193,3.601638458000707,3.591655583000829,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.598112417000266,3.601638458000707,5.615156917000604,5.592407750000348,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy1,5,0,0,0,None,None,9,2.3318914580004275,None,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,5.615156917000604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.611163375000615,5.615156917000604,6.09915437500058,6.112346000000798,6.133400750000874,6.133400750000874,6.133400750000874,8.471120958000029,Correct!,None,None,9,2.3318914580004275,None,8.475943875000667,8.483580542000709,9.472588625000753,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy1,5,1,0,1,None,None,None,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,9.484596833000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.472803292000208,9.484596833000069,9.980711917000008,9.990853125000285,10.005086957999993,10.005086957999993,10.005086957999993,14.993155292000665,Incorrect!,None,None,None,,,14.996099000000868,15.005493958000443,15.994711167000787,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy1,5,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy2,5,0,0,0,None,None,3,2.9808171660006337,None,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,16.006406167000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.001219208000293,16.006406167000023,16.5040234170001,16.513580542000454,16.530445708000116,16.530445708000116,16.530445708000116,19.515150083000663,Incorrect!,None,None,3,2.9808171660006337,None,19.515403750000587,19.52712820800025,20.518588708000607,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy2,5,1,0,1,None,None,2,3.748682999999801,None,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,20.52816116700069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.518884875000367,20.52816116700069,21.024331417000212,21.026048083000205,21.04152987500038,21.04152987500038,21.04152987500038,24.796918792000724,Correct!,None,None,2,3.748682999999801,None,24.79714604200035,24.80903791700075,25.800337542000307,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
easy2,5,2,0,2,None,None,1,3.4819298750007874,None,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,25.810064708000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80063408300066,25.810064708000027,26.306721167000433,26.31676870800038,26.331261667000035,26.331261667000035,26.331261667000035,29.825522042000557,Correct!,None,None,1,3.4819298750007874,None,29.825754375000542,29.837599375000536,30.827034917000674,pilot,001,2026-01-30_17h58.26.471,misty_module,,2025.2.4,74.86545293068639,2026-01-30 17h58.27.010598 +0000,
