prac_diff,thisN,thisTrialN,thisRepN,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,thisRow.t,notes,wait_screen.started,text.started,key_resp_2.started,wait_screen.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instructions.started,intstructs.started,space_to_cont.started,instructions.stopped,space_to_cont.keys,space_to_cont.rt,space_to_cont.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixation.started,fix.started,fixation.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.006784207999771752,0.00960758299970621,0.00960758299970621,3.0524127079997925,l,2.930288291000579,None,,,,,,,,,,,,,,,,,pilot,001,2026-01-31_18h28.09.406,misty_module,,2025.2.4,74.9698949011716,2026-01-31 18h28.09.952344 +0000,
,,,,,,,,,,,,,,,,,3.0524404159996266,3.056259749999299,3.056259749999299,4.085171249999803,space,1.021623291000651,None,[],[],[],[],[],[],,,,pilot,001,2026-01-31_18h28.09.406,misty_module,,2025.2.4,74.9698949011716,2026-01-31 18h28.09.952344 +0000,
easy1,0,0,0,0,0,0,0,4.099654165999709,,,,,,,,,,,,,,,,,,,,,,4.095126624999466,4.099654165999709,4.586044540999865,,,,,,,,,
